Num. Cliente,Producto,Punto de venta,Día,Hora,Articulos,Precio,Empresa,Categoria,Historial Crediticio
8765,Tarjeta de crédito,Banorte 8,06/08/2024,15:21:54,Artículo 48,"$5,842.00",Banorte,Supermercado,480
5432,Tarjeta de crédito,Sanborns 804,06/30/2024,19:41:25,Artículo 25,"$6,436.00",Sanborns,Retail,737
2002,Tarjeta de crédito,Spotify 193,07/03/2024,05:42:38,Artículo 27,$261.00,Spotify,Clothing,389
1001,Afore,NA,06/08/2024,07:07:17,NA,"$2,561.00",Banorte,Sector Financiero,736
6478,Afore,NA,06/13/2024,14:30:39,NA,"$2,017.00",Banorte,Sector Financiero,611
9980,Tarjeta de crédito,Banorte 518,07/03/2024,23:33:20,Artículo 24,"$4,130.00",Banorte,Entretenimiento,501
2002,Tarjeta de crédito,Uber Eats 395,06/21/2024,10:17:57,Artículo 14,"$8,243.00",Uber Eats,E-commerce,389
6478,Tarjeta de crédito,Oxxo 415,06/07/2024,23:36:18,Artículo 25,"$3,776.00",Oxxo,Comida a domicilio,611
9876,Fondos de Inversión,NA,06/09/2024,06:17:57,NA,$844.00,Banorte,Sector Financiero,591
1001,Fondos de Inversión,NA,06/22/2024,07:06:43,NA,"$9,640.00",Banorte,Sector Financiero,736
7555,Fondos de Inversión,NA,07/04/2024,06:36:48,NA,"$9,212.00",Banorte,Sector Financiero,659
9980,Tarjeta de débito,Uber Eats 834,06/07/2024,11:24:17,Artículo 12,"$7,445.00",Uber Eats,E-commerce,501
9876,Tarjeta de crédito,Soriana 496,06/06/2024,05:18:18,Artículo 47,"$8,156.00",Soriana,Supermercado,591
1001,Tarjeta de débito,Spotify 749,06/10/2024,02:38:29,Artículo 36,"$4,737.00",Spotify,Supermercado,736
9980,Afore,NA,06/17/2024,12:24:43,NA,"$2,333.00",Banorte,Sector Financiero,501
7555,Afore,NA,06/17/2024,03:33:20,NA,"$4,652.00",Banorte,Sector Financiero,659
5432,Fondos de Inversión,NA,06/18/2024,20:47:42,NA,"$1,798.00",Banorte,Sector Financiero,737
7555,Tarjeta de crédito,Chedraui 896,06/27/2024,11:00:14,Artículo 2,"$4,777.00",Chedraui,Entretenimiento,659
5231,Tarjeta de débito,Soriana 907,06/20/2024,05:24:12,Artículo 11,"$7,005.00",Soriana,Restaurant,406
8765,Fondos de Inversión,NA,06/22/2024,00:18:53,NA,"$9,769.00",Banorte,Sector Financiero,480
8765,Tarjeta de débito,Mercado Libre 124,06/30/2024,01:19:14,Artículo 23,"$1,613.00",Mercado Libre,Tecnología,480
7555,Afore,NA,06/27/2024,19:38:28,NA,"$3,690.00",Banorte,Sector Financiero,659
2002,Tarjeta de crédito,Spotify 795,06/23/2024,09:40:14,Artículo 8,"$1,550.00",Spotify,Entretenimiento,389
8765,Fondos de Inversión,NA,07/02/2024,14:22:58,NA,"$9,024.00",Banorte,Sector Financiero,480
1234,Tarjeta de débito,Walmart 307,06/19/2024,16:41:08,Artículo 21,"$6,955.00",Walmart,Entretenimiento,571
9980,Tarjeta de débito,Banorte 228,06/19/2024,21:29:56,Artículo 46,"$6,606.00",Banorte,Restaurant,501
5231,Tarjeta de crédito,iShop 601,06/23/2024,11:45:53,Artículo 10,"$6,826.00",iShop,E-commerce,406
1234,Tarjeta de débito,Amazon 53,06/30/2024,18:36:14,Artículo 38,"$5,179.00",Amazon,Clothing,571
8765,Tarjeta de débito,Spotify 862,06/30/2024,23:00:33,Artículo 38,"$4,182.00",Spotify,Tecnología,480
2002,Tarjeta de crédito,Cinemex 714,06/06/2024,04:42:50,Artículo 19,"$9,126.00",Cinemex,Restaurant,389
6478,Tarjeta de crédito,El Palacio de Hierro 908,06/21/2024,14:10:55,Artículo 50,$21.00,El Palacio de Hierro,Comida a domicilio,611
9876,Afore,NA,06/19/2024,16:23:06,NA,"$6,359.00",Banorte,Sector Financiero,591
8765,Afore,NA,07/03/2024,03:23:32,NA,"$8,209.00",Banorte,Sector Financiero,480
7555,Tarjeta de débito,Walmart 160,06/10/2024,16:27:18,Artículo 35,"$1,033.00",Walmart,Electronics,659
1001,Tarjeta de crédito,Cinemex 425,06/13/2024,03:34:13,Artículo 6,"$5,642.00",Cinemex,Electronics,736
9876,Fondos de Inversión,NA,07/02/2024,21:41:13,NA,"$8,023.00",Banorte,Sector Financiero,591
8765,Afore,NA,06/25/2024,06:18:22,NA,"$4,560.00",Banorte,Sector Financiero,480
8765,Afore,NA,07/04/2024,05:46:36,NA,"$4,206.00",Banorte,Sector Financiero,480
5432,Tarjeta de crédito,Soriana 9,06/06/2024,08:46:53,Artículo 41,$34.00,Soriana,Restaurant,737
9980,Tarjeta de débito,Banorte 385,07/04/2024,03:29:29,Artículo 39,$736.00,Banorte,Comida a domicilio,501
1001,Tarjeta de débito,Uber Eats 858,06/18/2024,10:22:04,Artículo 15,"$1,469.00",Uber Eats,Electronics,736
9980,Afore,NA,07/01/2024,11:12:19,NA,"$1,035.00",Banorte,Sector Financiero,501
1001,Fondos de Inversión,NA,06/24/2024,02:37:39,NA,"$3,555.00",Banorte,Sector Financiero,736
2002,Tarjeta de crédito,Amazon 946,06/27/2024,05:32:01,Artículo 28,"$5,609.00",Amazon,Supermercado,389
5432,Tarjeta de crédito,Starbucks 74,06/13/2024,22:03:33,Artículo 34,"$3,288.00",Starbucks,Clothing,737
7555,Fondos de Inversión,NA,07/01/2024,02:01:15,NA,"$5,688.00",Banorte,Sector Financiero,659
1001,Fondos de Inversión,NA,06/16/2024,10:47:40,NA,"$4,989.00",Banorte,Sector Financiero,736
1234,Tarjeta de débito,iShop 671,06/11/2024,21:24:17,Artículo 1,$204.00,iShop,Retail,571
9980,Tarjeta de crédito,Spotify 83,06/27/2024,18:38:44,Artículo 29,"$2,479.00",Spotify,Electronics,501
1234,Tarjeta de crédito,Cinemex 404,06/07/2024,11:16:48,Artículo 2,"$9,881.00",Cinemex,Restaurant,571
6478,Fondos de Inversión,NA,06/18/2024,04:39:16,NA,"$6,996.00",Banorte,Sector Financiero,611
9876,Afore,NA,06/25/2024,00:55:44,NA,"$1,415.00",Banorte,Sector Financiero,591
5432,Tarjeta de crédito,Uber Eats 152,06/14/2024,08:18:44,Artículo 6,"$9,453.00",Uber Eats,E-commerce,737
1234,Fondos de Inversión,NA,07/02/2024,13:04:29,NA,$302.00,Banorte,Sector Financiero,571
6478,Tarjeta de crédito,Soriana 32,06/28/2024,08:45:51,Artículo 38,"$7,321.00",Soriana,Electronics,611
9980,Tarjeta de crédito,Soriana 722,07/01/2024,19:49:33,Artículo 26,"$7,517.00",Soriana,Supermercado,501
8765,Fondos de Inversión,NA,06/24/2024,12:16:46,NA,"$2,683.00",Banorte,Sector Financiero,480
2002,Fondos de Inversión,NA,06/20/2024,13:11:59,NA,"$6,258.00",Banorte,Sector Financiero,389
5432,Tarjeta de débito,Oxxo 741,06/21/2024,16:33:55,Artículo 29,"$2,410.00",Oxxo,Tecnología,737
7555,Afore,NA,06/07/2024,03:13:33,NA,"$6,064.00",Banorte,Sector Financiero,659
9876,Tarjeta de débito,El Palacio de Hierro 395,06/17/2024,07:02:20,Artículo 18,"$6,384.00",El Palacio de Hierro,Alimentos y bebidas,591
5231,Afore,NA,06/25/2024,23:43:50,NA,"$2,035.00",Banorte,Sector Financiero,406
9876,Afore,NA,06/04/2024,22:29:46,NA,"$5,304.00",Banorte,Sector Financiero,591
6478,Fondos de Inversión,NA,06/19/2024,02:48:17,NA,"$7,447.00",Banorte,Sector Financiero,611
1001,Afore,NA,06/08/2024,21:01:38,NA,"$3,769.00",Banorte,Sector Financiero,736
8765,Afore,NA,06/08/2024,22:26:11,NA,"$1,753.00",Banorte,Sector Financiero,480
5432,Fondos de Inversión,NA,07/02/2024,10:01:48,NA,"$4,870.00",Banorte,Sector Financiero,737
7555,Afore,NA,07/01/2024,21:00:21,NA,"$1,839.00",Banorte,Sector Financiero,659
1001,Fondos de Inversión,NA,06/19/2024,16:08:41,NA,"$8,432.00",Banorte,Sector Financiero,736
1001,Tarjeta de débito,Banorte 561,06/27/2024,02:08:31,Artículo 26,"$4,977.00",Banorte,Electronics,736
9980,Tarjeta de débito,Cinemex 660,06/09/2024,14:45:50,Artículo 19,"$3,855.00",Cinemex,E-commerce,501
5432,Tarjeta de débito,Amazon 660,06/07/2024,06:10:44,Artículo 5,"$4,622.00",Amazon,E-commerce,737
9980,Tarjeta de débito,Oxxo 454,06/24/2024,19:53:41,Artículo 50,"$7,681.00",Oxxo,Electronics,501
9980,Afore,NA,06/10/2024,01:56:35,NA,"$3,087.00",Banorte,Sector Financiero,501
9980,Tarjeta de débito,Starbucks 257,06/13/2024,08:15:31,Artículo 28,"$4,675.00",Starbucks,Clothing,501
2002,Tarjeta de débito,Oxxo 492,06/19/2024,11:21:53,Artículo 6,$922.00,Oxxo,Tecnología,389
9980,Afore,NA,06/09/2024,02:42:28,NA,"$3,252.00",Banorte,Sector Financiero,501
2002,Afore,NA,06/30/2024,23:26:16,NA,"$3,724.00",Banorte,Sector Financiero,389
7555,Afore,NA,06/11/2024,07:24:03,NA,"$5,998.00",Banorte,Sector Financiero,659
9980,Fondos de Inversión,NA,07/01/2024,16:46:55,NA,"$5,187.00",Banorte,Sector Financiero,501
9876,Fondos de Inversión,NA,06/26/2024,00:55:55,NA,"$3,370.00",Banorte,Sector Financiero,591
6478,Tarjeta de crédito,Mercado Libre 858,06/10/2024,00:40:49,Artículo 14,"$3,192.00",Mercado Libre,Alimentos y bebidas,611
9980,Fondos de Inversión,NA,07/03/2024,01:00:22,NA,"$6,786.00",Banorte,Sector Financiero,501
9876,Fondos de Inversión,NA,06/29/2024,07:24:34,NA,"$9,535.00",Banorte,Sector Financiero,591
7555,Fondos de Inversión,NA,06/26/2024,12:31:56,NA,"$7,265.00",Banorte,Sector Financiero,659
5231,Fondos de Inversión,NA,06/30/2024,17:06:26,NA,"$3,041.00",Banorte,Sector Financiero,406
9876,Tarjeta de débito,Banorte 340,06/18/2024,20:08:17,Artículo 33,"$9,257.00",Banorte,Entretenimiento,591
8765,Tarjeta de crédito,Chedraui 238,06/13/2024,05:03:33,Artículo 47,"$8,210.00",Chedraui,E-commerce,480
1234,Fondos de Inversión,NA,06/21/2024,10:40:14,NA,"$1,584.00",Banorte,Sector Financiero,571
1234,Tarjeta de débito,Banorte 828,07/04/2024,13:03:44,Artículo 42,"$5,877.00",Banorte,E-commerce,571
5432,Fondos de Inversión,NA,06/21/2024,05:26:47,NA,"$8,254.00",Banorte,Sector Financiero,737
5432,Tarjeta de crédito,Chedraui 293,06/07/2024,08:37:27,Artículo 43,"$7,445.00",Chedraui,E-commerce,737
5432,Afore,NA,06/21/2024,17:26:20,NA,$850.00,Banorte,Sector Financiero,737
7555,Afore,NA,06/17/2024,09:08:52,NA,"$4,455.00",Banorte,Sector Financiero,659
9876,Afore,NA,06/30/2024,05:15:32,NA,"$6,254.00",Banorte,Sector Financiero,591
1234,Fondos de Inversión,NA,06/17/2024,03:49:53,NA,"$6,835.00",Banorte,Sector Financiero,571
9876,Tarjeta de crédito,Walmart 762,07/01/2024,14:50:30,Artículo 27,"$5,942.00",Walmart,Tecnología,591
9876,Afore,NA,06/22/2024,22:15:35,NA,"$4,898.00",Banorte,Sector Financiero,591
9876,Tarjeta de débito,Sanborns 666,06/08/2024,07:11:19,Artículo 21,"$2,319.00",Sanborns,Retail,591
7555,Tarjeta de débito,Oxxo 587,06/05/2024,15:04:59,Artículo 28,"$5,162.00",Oxxo,Clothing,659
8765,Tarjeta de crédito,iShop 601,06/20/2024,07:29:52,Artículo 18,"$6,932.00",iShop,Comida a domicilio,480
5432,Tarjeta de débito,Oxxo 796,06/29/2024,16:08:38,Artículo 16,"$4,899.00",Oxxo,Comida a domicilio,737
1001,Tarjeta de crédito,Oxxo 584,06/07/2024,15:15:39,Artículo 39,"$2,343.00",Oxxo,Tecnología,736
1234,Tarjeta de crédito,Spotify 930,06/28/2024,00:19:37,Artículo 16,"$4,307.00",Spotify,Entretenimiento,571
5231,Tarjeta de crédito,iShop 196,06/22/2024,17:37:43,Artículo 29,"$3,653.00",iShop,Entretenimiento,406
9980,Tarjeta de débito,Walmart 128,06/12/2024,14:54:47,Artículo 23,"$2,378.00",Walmart,Supermercado,501
1234,Fondos de Inversión,NA,06/27/2024,10:32:57,NA,"$9,707.00",Banorte,Sector Financiero,571
1001,Fondos de Inversión,NA,06/24/2024,13:55:02,NA,"$1,767.00",Banorte,Sector Financiero,736
7555,Afore,NA,06/04/2024,17:26:24,NA,"$4,666.00",Banorte,Sector Financiero,659
9876,Fondos de Inversión,NA,06/15/2024,20:26:17,NA,"$4,142.00",Banorte,Sector Financiero,591
6478,Tarjeta de crédito,Liverpool 50,06/27/2024,14:32:15,Artículo 6,"$6,887.00",Liverpool,Entretenimiento,611
1001,Tarjeta de débito,Uber Eats 781,07/02/2024,14:32:15,Artículo 13,"$9,995.00",Uber Eats,Clothing,736
2002,Fondos de Inversión,NA,06/22/2024,03:03:49,NA,"$7,593.00",Banorte,Sector Financiero,389
9980,Tarjeta de débito,Oxxo 29,06/13/2024,19:04:44,Artículo 50,"$1,728.00",Oxxo,Electronics,501
5231,Afore,NA,06/20/2024,01:15:33,NA,$624.00,Banorte,Sector Financiero,406
1234,Tarjeta de débito,Chedraui 501,06/24/2024,23:21:04,Artículo 42,"$5,848.00",Chedraui,Supermercado,571
5231,Tarjeta de débito,Oxxo 68,06/11/2024,23:53:02,Artículo 49,"$8,568.00",Oxxo,Alimentos y bebidas,406
9876,Afore,NA,07/01/2024,03:18:58,NA,$136.00,Banorte,Sector Financiero,591
1234,Tarjeta de crédito,Uber Eats 238,06/10/2024,17:52:39,Artículo 44,"$7,739.00",Uber Eats,Retail,571
9876,Tarjeta de débito,El Palacio de Hierro 137,06/18/2024,10:02:52,Artículo 42,"$9,107.00",El Palacio de Hierro,Tecnología,591
9876,Fondos de Inversión,NA,06/14/2024,10:42:15,NA,"$3,934.00",Banorte,Sector Financiero,591
1234,Tarjeta de débito,Liverpool 736,06/27/2024,04:05:31,Artículo 36,"$7,516.00",Liverpool,E-commerce,571
5432,Tarjeta de crédito,Spotify 783,06/21/2024,15:46:33,Artículo 39,"$3,878.00",Spotify,Comida a domicilio,737
9876,Fondos de Inversión,NA,06/15/2024,15:52:59,NA,"$7,553.00",Banorte,Sector Financiero,591
8765,Tarjeta de crédito,Chedraui 757,06/09/2024,04:21:05,Artículo 6,"$3,883.00",Chedraui,Electronics,480
9876,Afore,NA,06/11/2024,17:06:00,NA,"$7,474.00",Banorte,Sector Financiero,591
5432,Fondos de Inversión,NA,07/01/2024,01:20:19,NA,$771.00,Banorte,Sector Financiero,737
1001,Tarjeta de débito,Sanborns 725,06/23/2024,20:50:10,Artículo 43,"$1,864.00",Sanborns,Alimentos y bebidas,736
7555,Tarjeta de débito,Starbucks 280,06/30/2024,21:59:08,Artículo 27,"$9,681.00",Starbucks,Electronics,659
8765,Fondos de Inversión,NA,06/11/2024,22:26:04,NA,"$1,018.00",Banorte,Sector Financiero,480
1001,Fondos de Inversión,NA,06/21/2024,19:46:25,NA,"$1,814.00",Banorte,Sector Financiero,736
5231,Tarjeta de crédito,Banorte 340,06/27/2024,04:02:09,Artículo 49,"$1,390.00",Banorte,Retail,406
1234,Fondos de Inversión,NA,06/14/2024,15:15:04,NA,"$7,445.00",Banorte,Sector Financiero,571
9876,Afore,NA,07/01/2024,14:56:40,NA,"$9,351.00",Banorte,Sector Financiero,591
9980,Fondos de Inversión,NA,06/27/2024,12:15:47,NA,"$6,361.00",Banorte,Sector Financiero,501
6478,Tarjeta de débito,iShop 916,06/12/2024,07:51:34,Artículo 23,"$6,018.00",iShop,Tecnología,611
2002,Tarjeta de débito,Amazon 79,06/10/2024,18:45:38,Artículo 23,"$7,605.00",Amazon,E-commerce,389
9980,Fondos de Inversión,NA,06/08/2024,04:05:33,NA,"$5,368.00",Banorte,Sector Financiero,501
6478,Tarjeta de débito,El Palacio de Hierro 261,06/21/2024,03:39:02,Artículo 4,"$5,567.00",El Palacio de Hierro,Alimentos y bebidas,611
6478,Fondos de Inversión,NA,06/28/2024,03:02:04,NA,"$1,506.00",Banorte,Sector Financiero,611
9980,Tarjeta de crédito,Cinemex 184,06/13/2024,19:49:11,Artículo 13,"$9,741.00",Cinemex,Retail,501
5432,Tarjeta de débito,Spotify 252,06/27/2024,15:20:51,Artículo 28,"$8,553.00",Spotify,Supermercado,737
9980,Afore,NA,06/20/2024,14:25:55,NA,"$3,942.00",Banorte,Sector Financiero,501
5231,Afore,NA,06/13/2024,08:24:25,NA,"$4,713.00",Banorte,Sector Financiero,406
8765,Fondos de Inversión,NA,06/09/2024,00:06:56,NA,"$3,145.00",Banorte,Sector Financiero,480
6478,Tarjeta de débito,Sanborns 463,06/29/2024,05:29:42,Artículo 33,"$1,237.00",Sanborns,Restaurant,611
6478,Tarjeta de débito,Banorte 563,06/23/2024,11:04:15,Artículo 44,"$8,936.00",Banorte,Clothing,611
8765,Tarjeta de débito,iShop 433,06/22/2024,16:35:54,Artículo 46,"$4,287.00",iShop,Restaurant,480
8765,Tarjeta de crédito,Mercado Libre 841,06/18/2024,21:25:15,Artículo 10,"$6,984.00",Mercado Libre,E-commerce,480
9876,Tarjeta de crédito,Walmart 770,06/30/2024,10:08:10,Artículo 32,"$7,735.00",Walmart,E-commerce,591
1001,Afore,NA,06/05/2024,22:54:51,NA,"$8,933.00",Banorte,Sector Financiero,736
7555,Afore,NA,06/10/2024,11:27:11,NA,"$1,038.00",Banorte,Sector Financiero,659
5432,Tarjeta de crédito,Chedraui 60,07/04/2024,19:42:17,Artículo 27,"$4,553.00",Chedraui,Alimentos y bebidas,737
5432,Tarjeta de crédito,Starbucks 358,06/30/2024,03:48:52,Artículo 40,"$1,203.00",Starbucks,Electronics,737
1234,Tarjeta de crédito,Amazon 701,06/22/2024,14:54:08,Artículo 27,"$7,864.00",Amazon,Supermercado,571
9876,Tarjeta de crédito,Oxxo 985,06/25/2024,14:12:02,Artículo 36,$941.00,Oxxo,Entretenimiento,591
7555,Tarjeta de crédito,Liverpool 911,06/20/2024,06:49:43,Artículo 42,"$3,189.00",Liverpool,Retail,659
1001,Tarjeta de débito,iShop 311,07/04/2024,00:36:28,Artículo 48,"$9,252.00",iShop,Entretenimiento,736
5432,Tarjeta de débito,Mercado Libre 544,06/24/2024,22:29:00,Artículo 25,"$2,270.00",Mercado Libre,Alimentos y bebidas,737
2002,Tarjeta de crédito,Cinemex 187,06/29/2024,16:44:53,Artículo 30,"$4,375.00",Cinemex,Alimentos y bebidas,389
5432,Tarjeta de crédito,Liverpool 476,06/29/2024,21:31:12,Artículo 38,"$5,760.00",Liverpool,Supermercado,737
7555,Afore,NA,06/06/2024,05:21:15,NA,"$5,206.00",Banorte,Sector Financiero,659
6478,Afore,NA,06/12/2024,11:19:50,NA,"$9,474.00",Banorte,Sector Financiero,611
5231,Tarjeta de crédito,Sanborns 753,06/18/2024,15:53:00,Artículo 15,"$5,894.00",Sanborns,Clothing,406
1001,Fondos de Inversión,NA,07/02/2024,13:24:12,NA,"$9,335.00",Banorte,Sector Financiero,736
9876,Afore,NA,06/21/2024,16:58:05,NA,"$3,138.00",Banorte,Sector Financiero,591
6478,Afore,NA,06/11/2024,00:56:20,NA,"$3,440.00",Banorte,Sector Financiero,611
5432,Afore,NA,07/01/2024,17:04:35,NA,"$9,002.00",Banorte,Sector Financiero,737
5231,Fondos de Inversión,NA,06/14/2024,09:02:25,NA,"$7,384.00",Banorte,Sector Financiero,406
5231,Afore,NA,06/20/2024,20:34:35,NA,"$2,957.00",Banorte,Sector Financiero,406
5432,Fondos de Inversión,NA,07/04/2024,00:00:07,NA,"$4,171.00",Banorte,Sector Financiero,737
2002,Afore,NA,06/11/2024,12:33:03,NA,"$4,538.00",Banorte,Sector Financiero,389
9980,Fondos de Inversión,NA,06/18/2024,19:05:38,NA,"$7,873.00",Banorte,Sector Financiero,501
8765,Afore,NA,07/04/2024,04:11:40,NA,$771.00,Banorte,Sector Financiero,480
8765,Tarjeta de crédito,Oxxo 110,06/12/2024,15:58:54,Artículo 12,"$4,679.00",Oxxo,Supermercado,480
5432,Afore,NA,06/13/2024,12:35:58,NA,"$2,561.00",Banorte,Sector Financiero,737
1001,Fondos de Inversión,NA,06/14/2024,14:35:55,NA,"$7,992.00",Banorte,Sector Financiero,736
7555,Fondos de Inversión,NA,06/06/2024,15:02:04,NA,"$1,742.00",Banorte,Sector Financiero,659
9876,Tarjeta de crédito,Starbucks 367,06/14/2024,01:56:20,Artículo 1,"$9,085.00",Starbucks,Comida a domicilio,591
1001,Tarjeta de crédito,Oxxo 438,06/17/2024,22:48:10,Artículo 13,"$5,792.00",Oxxo,Electronics,736
9980,Fondos de Inversión,NA,06/29/2024,17:12:12,NA,"$6,833.00",Banorte,Sector Financiero,501
5231,Fondos de Inversión,NA,07/02/2024,20:18:23,NA,"$2,618.00",Banorte,Sector Financiero,406
5231,Fondos de Inversión,NA,06/16/2024,14:09:41,NA,"$7,963.00",Banorte,Sector Financiero,406
2002,Afore,NA,06/19/2024,20:55:16,NA,"$8,895.00",Banorte,Sector Financiero,389
6478,Tarjeta de crédito,Soriana 290,06/07/2024,13:54:30,Artículo 49,$746.00,Soriana,Restaurant,611
7555,Fondos de Inversión,NA,06/21/2024,01:39:46,NA,"$7,618.00",Banorte,Sector Financiero,659
5231,Tarjeta de crédito,Starbucks 124,06/26/2024,15:25:28,Artículo 8,"$2,445.00",Starbucks,Clothing,406
5231,Fondos de Inversión,NA,06/24/2024,14:23:41,NA,"$4,845.00",Banorte,Sector Financiero,406
5432,Tarjeta de crédito,Sanborns 398,07/01/2024,19:45:24,Artículo 28,"$8,357.00",Sanborns,Alimentos y bebidas,737
8765,Tarjeta de crédito,Mercado Libre 902,06/28/2024,11:52:56,Artículo 5,"$6,606.00",Mercado Libre,E-commerce,480
9876,Fondos de Inversión,NA,06/27/2024,04:41:34,NA,"$7,272.00",Banorte,Sector Financiero,591
9876,Tarjeta de débito,Chedraui 434,06/19/2024,16:11:25,Artículo 1,"$7,964.00",Chedraui,Entretenimiento,591
1001,Tarjeta de débito,Oxxo 545,06/06/2024,00:31:25,Artículo 46,"$6,337.00",Oxxo,Tecnología,736
8765,Tarjeta de crédito,Banorte 479,06/23/2024,23:21:40,Artículo 8,"$4,866.00",Banorte,Retail,480
1001,Fondos de Inversión,NA,06/26/2024,05:46:04,NA,"$7,163.00",Banorte,Sector Financiero,736
5432,Tarjeta de crédito,Starbucks 559,06/06/2024,14:27:12,Artículo 39,"$1,937.00",Starbucks,Tecnología,737
9980,Tarjeta de crédito,Uber Eats 937,06/11/2024,13:09:30,Artículo 12,"$1,002.00",Uber Eats,Entretenimiento,501
2002,Tarjeta de débito,Chedraui 187,06/05/2024,23:37:56,Artículo 18,"$4,165.00",Chedraui,Retail,389
9980,Fondos de Inversión,NA,06/30/2024,23:30:00,NA,"$7,352.00",Banorte,Sector Financiero,501
6478,Tarjeta de débito,Cinemex 136,06/05/2024,02:35:22,Artículo 16,"$9,273.00",Cinemex,E-commerce,611
7555,Fondos de Inversión,NA,06/13/2024,14:37:56,NA,"$2,220.00",Banorte,Sector Financiero,659
5231,Tarjeta de crédito,Mercado Libre 229,06/09/2024,01:21:35,Artículo 22,"$9,680.00",Mercado Libre,Restaurant,406
5432,Tarjeta de crédito,Liverpool 842,06/27/2024,17:21:18,Artículo 38,"$7,460.00",Liverpool,Clothing,737
6478,Tarjeta de crédito,iShop 819,06/21/2024,18:05:25,Artículo 35,"$5,194.00",iShop,Retail,611
1001,Fondos de Inversión,NA,06/22/2024,10:58:47,NA,"$3,098.00",Banorte,Sector Financiero,736
9876,Afore,NA,07/04/2024,06:27:34,NA,"$4,274.00",Banorte,Sector Financiero,591
6478,Tarjeta de crédito,Banorte 194,06/04/2024,12:13:24,Artículo 2,"$9,531.00",Banorte,Electronics,611
8765,Afore,NA,06/21/2024,13:56:23,NA,"$8,004.00",Banorte,Sector Financiero,480
5432,Tarjeta de débito,Walmart 844,06/24/2024,12:44:49,Artículo 39,"$4,516.00",Walmart,Supermercado,737
1234,Tarjeta de débito,Walmart 945,06/04/2024,14:37:26,Artículo 12,"$5,473.00",Walmart,Electronics,571
7555,Fondos de Inversión,NA,06/28/2024,01:06:33,NA,$659.00,Banorte,Sector Financiero,659
5432,Tarjeta de débito,Chedraui 915,06/16/2024,21:45:28,Artículo 16,"$5,064.00",Chedraui,Entretenimiento,737
9980,Fondos de Inversión,NA,06/26/2024,02:01:46,NA,"$5,614.00",Banorte,Sector Financiero,501
5231,Tarjeta de crédito,Chedraui 192,06/19/2024,19:49:56,Artículo 24,"$8,281.00",Chedraui,E-commerce,406
9980,Afore,NA,06/26/2024,15:04:24,NA,"$8,468.00",Banorte,Sector Financiero,501
2002,Fondos de Inversión,NA,06/08/2024,16:20:22,NA,"$3,250.00",Banorte,Sector Financiero,389
1001,Afore,NA,06/24/2024,03:54:55,NA,"$8,476.00",Banorte,Sector Financiero,736
2002,Tarjeta de crédito,El Palacio de Hierro 391,06/29/2024,21:07:41,Artículo 29,"$1,274.00",El Palacio de Hierro,Comida a domicilio,389
9876,Tarjeta de crédito,Starbucks 263,06/07/2024,14:14:00,Artículo 2,"$9,260.00",Starbucks,Restaurant,591
5432,Afore,NA,07/01/2024,18:28:34,NA,"$6,675.00",Banorte,Sector Financiero,737
9876,Fondos de Inversión,NA,06/16/2024,17:44:06,NA,"$5,209.00",Banorte,Sector Financiero,591
5432,Tarjeta de débito,El Palacio de Hierro 847,06/15/2024,16:08:30,Artículo 27,"$4,232.00",El Palacio de Hierro,Entretenimiento,737
5432,Fondos de Inversión,NA,06/09/2024,21:04:15,NA,"$9,858.00",Banorte,Sector Financiero,737
1001,Fondos de Inversión,NA,06/23/2024,02:58:14,NA,"$3,828.00",Banorte,Sector Financiero,736
5231,Afore,NA,06/18/2024,09:35:11,NA,"$3,233.00",Banorte,Sector Financiero,406
5231,Tarjeta de crédito,iShop 723,07/02/2024,18:43:53,Artículo 16,"$7,703.00",iShop,Alimentos y bebidas,406
7555,Tarjeta de débito,Oxxo 424,06/22/2024,15:07:21,Artículo 3,"$5,111.00",Oxxo,Tecnología,659
7555,Tarjeta de crédito,Amazon 352,06/24/2024,06:57:13,Artículo 36,$33.00,Amazon,Supermercado,659
6478,Fondos de Inversión,NA,07/03/2024,00:04:57,NA,"$7,995.00",Banorte,Sector Financiero,611
6478,Fondos de Inversión,NA,07/04/2024,03:07:23,NA,"$7,018.00",Banorte,Sector Financiero,611
9980,Tarjeta de débito,Chedraui 188,06/24/2024,11:18:04,Artículo 1,"$5,436.00",Chedraui,Clothing,501
9876,Tarjeta de crédito,El Palacio de Hierro 881,06/26/2024,18:36:32,Artículo 23,"$3,837.00",El Palacio de Hierro,Entretenimiento,591
5432,Fondos de Inversión,NA,06/08/2024,01:38:01,NA,"$4,223.00",Banorte,Sector Financiero,737
1001,Afore,NA,06/29/2024,13:49:11,NA,"$9,652.00",Banorte,Sector Financiero,736
5432,Fondos de Inversión,NA,06/14/2024,04:01:16,NA,"$5,804.00",Banorte,Sector Financiero,737
9980,Fondos de Inversión,NA,06/10/2024,04:08:39,NA,"$3,636.00",Banorte,Sector Financiero,501
5432,Afore,NA,06/16/2024,15:21:39,NA,"$8,612.00",Banorte,Sector Financiero,737
5432,Tarjeta de crédito,Chedraui 947,06/04/2024,23:38:02,Artículo 24,"$4,822.00",Chedraui,Supermercado,737
9876,Tarjeta de crédito,Banorte 220,07/02/2024,06:49:27,Artículo 42,"$7,003.00",Banorte,Retail,591
6478,Afore,NA,06/08/2024,06:06:30,NA,"$7,120.00",Banorte,Sector Financiero,611
